"table_name","column_name","foreign_table_name","foreign_column_name"
"conversation_members","user_id","users","id"
"conversation_members","conversation_id","conversations","id"
"conversations","created_by","users","id"
"conversations","task_id","tasks","id"
"documents","muc_do_bao_mat","document_security_levels","code"
"documents","muc_do_uu_tien","document_priorities","code"
"documents","office_reviewer_id","users","id"
"documents","created_by","users","id"
"documents","unit_id","units","id"
"documents","cap_ban_hanh","document_source_levels","code"
"employee_periodic_report_items","subtask_id","subtasks","id"
"employee_periodic_report_items","report_id","employee_periodic_reports","id"
"employee_periodic_report_items","task_id","tasks","id"
"employee_periodic_reports","unit_id","units","id"
"employee_periodic_reports","reporter_id","users","id"
"message_attachments","message_id","messages","id"
"messages","conversation_id","conversations","id"
"messages","sender_id","users","id"
"notifications","user_id","users","id"
"notifications","document_id","documents","id"
"role_permissions","role_id","roles","id"
"subtask_periodic_reports","subtask_id","subtasks","id"
"subtask_periodic_reports","task_id","tasks","id"
"subtask_periodic_reports","reporter_id","users","id"
"subtasks","task_id","tasks","id"
"subtasks","assignee_user_id","users","id"
"task_approvals","task_id","tasks","id"
"task_approvals","approver_id","users","id"
"task_documents","document_id","documents","id"
"task_documents","task_id","tasks","id"
"task_periodic_report_items","task_id","tasks","id"
"task_periodic_report_items","report_id","task_periodic_reports","id"
"task_periodic_reports","unit_id","units","id"
"task_periodic_reports","task_id","tasks","id"
"task_periodic_reports","reporter_id","users","id"
"task_submissions","submitted_by","users","id"
"task_submissions","task_id","tasks","id"
"task_updates","task_id","tasks","id"
"task_updates","user_id","users","id"
"tasks","trang_thai_id","trang_thai_task","id"
"tasks","assignee_user_id","users","id"
"tasks","unit_id","units","id"
"tasks","lanh_dao_id","users","id"
"users","unit_id","units","id"
"users","role_id","roles","id"
